Sale_ID,Customer_ID,Product_ID,Quantity,Sale_Date
300001,100058,200004,3,9/7/2024 0:00
300002,100115,200018,3,11/23/2025 0:00
300003,100280,200012,2,2/2/2024 0:00
300004,100016,200012,1,6/1/2025 0:00
300005,100014,200072,1,10/27/2025 0:00
300006,100280,200054,1,8/26/2025 0:00
300007,100143,200001,3,6/12/2024 0:00
300008,100217,200044,1,8/8/2024 0:00
300009,100173,200014,1,4/9/2024 0:00
300010,100184,200045,3,4/6/2026 0:00
300011,100023,200094,2,5/7/2024 0:00
300012,100194,200011,2,4/29/2026 0:00
300013,100186,200074,1,3/12/2024 0:00
300014,100024,200085,1,10/23/2024 0:00
300015,100041,200030,4,1/24/2025 0:00
300016,100143,200059,3,1/8/2025 0:00
300017,100084,200048,2,11/17/2025 0:00
300018,100137,200090,5,10/25/2025 0:00
300019,100037,200078,3,6/30/2025 0:00
300020,100126,200021,2,10/3/2024 0:00
300021,100286,200029,3,2/25/2026 0:00
300022,100029,200030,4,4/4/2026 0:00
300023,100162,200052,1,8/4/2024 0:00
300024,100291,200092,1,11/2/2025 0:00
300025,100256,200051,5,10/20/2025 0:00
300026,100235,200019,1,9/9/2024 0:00
300027,100288,200069,1,8/21/2025 0:00
300028,100220,200075,2,8/12/2024 0:00
300029,100071,200066,2,2/12/2026 0:00
300030,100025,200015,1,6/12/2024 0:00
300031,100217,200077,1,1/25/2025 0:00
300032,100240,200068,1,7/20/2025 0:00
300033,100006,200088,3,11/29/2025 0:00
300034,100275,200097,1,10/18/2025 0:00
300035,100175,200015,1,6/10/2024 0:00
300036,100233,200001,6,1/6/2026 0:00
300037,100135,200065,3,6/3/2025 0:00
300038,100055,200081,1,10/16/2025 0:00
300039,100260,200078,1,1/17/2025 0:00
300040,100083,200070,6,6/27/2025 0:00
300041,100001,200077,1,1/20/2024 0:00
300042,100058,200047,4,4/6/2026 0:00
300043,100158,200031,1,8/3/2025 0:00
300044,100041,200011,3,4/15/2026 0:00
300045,100036,200098,2,5/8/2024 0:00
300046,100066,200085,2,7/16/2025 0:00
300047,100085,200034,2,9/13/2025 0:00
300048,100217,200028,5,2/12/2026 0:00
300049,100103,200092,1,11/18/2025 0:00
300050,100192,200057,5,4/7/2025 0:00
300051,100062,200032,1,12/12/2024 0:00
300052,100011,200076,2,8/25/2025 0:00
300053,100113,200001,1,10/8/2025 0:00
300054,100031,200030,1,2/2/2024 0:00
300055,100170,200010,2,10/12/2024 0:00
300056,100249,200028,2,1/10/2026 0:00
300057,100293,200074,2,3/14/2026 0:00
300058,100243,200053,1,4/9/2024 0:00
300059,100221,200046,2,4/23/2025 0:00
300060,100028,200087,3,10/23/2025 0:00
300061,100051,200008,2,12/13/2024 0:00
300062,100056,200032,1,7/3/2025 0:00
300063,100230,200018,2,10/12/2024 0:00
300064,100237,200032,4,3/18/2024 0:00
300065,100227,200071,1,10/29/2025 0:00
300066,100277,200002,6,2/10/2026 0:00
300067,100122,200022,2,5/7/2025 0:00
300068,100110,200052,5,6/17/2024 0:00
